Rk,Player,Age,Team,Pos,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,OWS,DWS,WS,WS/48,BPM,VORP,PER,Salary
480,P.J. Tucker,37,PHI,PF,75,25.6,3.9,0.8,0.5,0.2,0.6,2.4,3.5,117,116,0.9,1.7,2.5,0.064,-3,-0.5,5.7,11055120
500,P.J. Washington,24,CHO,PF,73,32.6,4.9,2.4,0.9,1.1,1.5,2.6,15.7,107,116,0.4,2.2,2.6,0.052,-1.3,0.4,12.9,35448672
23,Paolo Banchero,20,ORL,PF,72,33.8,6.9,3.7,0.8,0.5,2.8,2.2,20,105,114,-0.3,2.6,2.4,0.047,-1.5,0.3,14.9,5728393
442,Pascal Siakam,28,TOR,PF,71,37.4,7.8,5.8,0.9,0.5,2.4,3.2,24.2,118,115,5.2,2.6,7.8,0.141,3.1,3.4,20.3,2226000
100,Pat Connaughton,30,MIL,SF,61,23.7,4.6,1.3,0.6,0.2,0.5,1.1,7.6,112,113,0.7,1.8,2.5,0.085,-1,0.3,10,13801614
20,Patrick Baldwin Jr.,20,GSW,SF,31,7.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,101,114,-0.1,0.3,0.1,0.029,-2.1,0,11.3,7775400
39,Patrick Beverley,34,2TM,PG,67,27.1,3.7,2.9,0.9,0.6,0.9,2.8,6.2,113,113,0.8,2.1,3,0.079,-1.2,0.3,8.9,6479000
523,Patrick Williams,21,CHI,PF,82,28.3,4,1.2,0.9,0.9,1.2,1.8,10.2,108,113,0.5,3,3.5,0.072,-1.3,0.4,11.2,42492492
333,Patty Mills,34,BRK,PG,40,14.2,1.1,1.4,0.4,0.1,0.8,0.8,6.2,106,118,0,0.4,0.4,0.035,-3.1,-0.2,10.6,1782621
161,Paul George,32,LAC,SF,56,34.6,6.1,5.1,1.5,0.4,3.1,2.8,23.8,113,113,2.3,2.3,4.6,0.114,2.8,2.3,19.6,2239200
409,Paul Reed,23,PHI,C,69,10.9,3.8,0.4,0.7,0.7,0.7,1.8,4.2,122,105,1.2,1.6,2.8,0.18,-0.1,0.4,19.2,2193960
400,Payton Pritchard,25,BOS,PG,48,13.4,1.8,1.3,0.3,0,0.8,0.8,5.6,105,115,-0.1,0.7,0.6,0.045,-3.4,-0.2,10.3,784654
505,Peyton Watson,20,DEN,SG,23,8.1,1.6,0.5,0.1,0.5,0.3,0.6,3.3,109,114,0.1,0.2,0.3,0.073,-2.8,0,12.8,10490000
131,PJ Dozier,26,SAC,SF,16,4.9,0.9,0.6,0.4,0.1,0.3,0.4,1.4,76,111,-0.3,0.1,-0.2,-0.097,-7.8,-0.1,5.2,5808435
1,Precious Achiuwa,23,TOR,C,55,20.7,6,0.9,0.6,0.5,1.1,1.9,9.2,112,113,0.8,1.4,2.2,0.093,-2.3,-0.1,15.2,2840160
184,Quentin Grimes,22,NYK,SG,71,29.9,3.2,2.1,0.7,0.4,1,2.5,11.3,125,117,3.2,1.6,4.8,0.108,-0.1,1,11.7,2277000
